"","City","Positive","Negative"
"1","Prairie Ridge",20,9
"2","Edison",31,9
"3","Packwood",22,7
"4","Harper",17,25
"5","Telma",9,32
"6","Kahlotus",1,0
"7","Mondovi",14,10
"8","Washtucna",3,0
"9","Pleasant Hill",45,4
"10","Toledo",22,11
"11","Wabash",16,23
"12","Renton",28,12
"13","Chehalis",24,18
"14","Marcellus",37,9
"15","Central Valley",25,19
"16","Ralston",27,8
"17","Lake City",19,11
"18","Megler",6,6
"19","Alder",41,3
"20","Goose Prairie",4,0
"21","Belvedere",25,6
"22","Waverly",30,16
"23","Turner Corner",3,47
"24","Kennydale",2,2
"25","Easton",28,14
"26","Navy Yard City",17,0
"27","Mercer Island",20,22
"28","Lynnwood",28,6
"29","Coulee City",14,2
"30","Douglas",24,16
"31","Centralia",26,11
"32","Colbert",33,10
"33","Bryn Mawr",32,10
"34","Silverdale",34,6
"35","Lyle",19,16
"36","Malott",22,22
"37","Mountlake Terrace",20,19
"38","Ilwaco",32,6
"39","Fairwood",32,11
"40","Warm Beach",44,3
"41","Thomas",24,16
"42","Parker",23,13
"43","Steptoe",19,16
"44","Vail",30,15
"45","Magnolia Beach",31,10
"46","Lakeview",28,12
"47","Shaw Island",25,7
"48","Oakesdale",0,1
"49","Rosburg",48,0
"50","Seattle",37,5
"51","Onalaska",23,3
"52","George",25,17
"53","Index",30,13
"54","Winchester",22,15
"55","Chelatchie",0,0
"56","Allentown",25,8
"57","Novelty",30,17
"58","Rosalia",38,7
"59","Richmond Beach",31,10
"60","Lakota",14,20
"61","Liberty Lake",45,2
"62","Airway Heights",28,10
"63","Reardan",4,3
"64","Farmer",26,11
"65","Brier",28,10
"66","Robe",28,14
"67","Elk Plain",3,0
"68","Port Townsend",30,6
"69","Ocean City",32,8
"70","Boulevard Park",14,26
"71","Newhalem",6,1
"72","Ford",13,34
"73","Waterville",33,2
"74","Quinault",33,9
"75","Humptulips",3,5
"76","Hamilton",24,7
"77","Oak Harbor",32,6
"78","Naches",29,13
"79","Hooper",28,12
"80","Anacortes",24,16
"81","Kettle Falls",12,35
"82","Walnut Grove",22,17
"83","Salkum",0,0
"84","Cunningham",30,3
"85","Irby",18,13
"86","Electric City",22,18
"87","Burbank",34,8
"88","Silver Lake",19,15
"89","Dash Point",23,16
"90","Laurel",27,11
"91","Woods Creek",34,8
"92","McKenna",19,14
"93","Revere",38,6
"94","Kalama",22,13
"95","Grandview",24,6
"96","Winthrop",38,0
"97","Maltby",28,9
"98","Spangle",21,6
"99","Blanchard",22,21
"100","May Creek",20,17
"101","Home",24,16
"102","Vashon",32,10
"103","Snoqualmie Falls",26,22
"104","Laurier",29,10
"105","Quincy",24,12
"106","Lake McMurray",7,29
"107","Martha Lake",27,20
"108","Ariel",30,8
"109","Loon Lake",23,24
"110","Thornton",26,12
"111","Starbuck",27,9
"112","Ronald",14,25
"113","Kelso",20,24
"114","Meadowdale",20,3
"115","Cottage Lake",41,1
"116","Cheney",25,18
"117","Woodway",28,5
"118","Lacey",24,13
"119","Harrah",19,7
"120","Allyn",13,19
"121","South Bend",31,8
"122","Barstow",17,21
"123","Tiger",27,14
"124","Warden",23,20
"125","Junction City",20,12
"126","Blyn",24,16
"127","Lakebay",0,1
"128","Tahuya",7,1
"129","Waukon",23,2
"130","Kitsap Lake",2,2
"131","Sultan",38,9
"132","Plain",11,26
"133","Tanner",32,9
"134","Stehekin",6,1
