"","city","avgRating"
"1","Prairie Ridge",0.922
"2","Edison",0.911
"3","Packwood",NA
"4","Wautauga Beach",0.908
"5","Harper",0.908
"6","Telma",NA
"7","Kahlotus",0.86
"8","Mondovi",NA
"9","Washtucna",NA
"10","Pleasant Hill",NA
"11","Toledo",NA
"12","Wabash",0.907
"13","Renton",0.905
"14","Chehalis",NA
"15","Marcellus",NA
"16","Central Valley",NA
"17","Ralston",0.922857142857143
"18","Lake City",0.933
"19","Megler",NA
"20","Alder",NA
"21","Goose Prairie",NA
"22","Belvedere",NA
"23","Waverly",NA
"24","Turner Corner",NA
"25","Lofall",NA
"26","Kennydale",0.908
"27","Easton",NA
"28","Navy Yard City",0.908
"29","Mercer Island",0.908
"30","Lynnwood",NA
"31","Coulee City",NA
"32","Douglas",NA
"33","Centralia",NA
"34","Colbert",NA
"35","Bryn Mawr",0.908
"36","Silverdale",NA
"37","Lyle",NA
"38","Malott",0.908
"39","Mountlake Terrace",NA
"40","Ilwaco",NA
"41","Fairwood",0.905
"42","Warm Beach",NA
"43","Thomas",0.907
"44","Parker",NA
"45","Steptoe",NA
"46","Vail",0.917
"47","Magnolia Beach",0.907
"48","Lakeview",0.935
"49","Shaw Island",0.907
"50","Oakesdale",NA
"51","Rosburg",NA
"52","Seattle",0.908
"53","Onalaska",NA
"54","George",0.931428571428571
"55","Index",NA
"56","Winchester",NA
"57","Chelatchie",NA
"58","Allentown",0.908
"59","Novelty",0.906
"60","Rosalia",NA
"61","Richmond Beach",NA
"62","Lakota",0.907
"63","Liberty Lake",NA
"64","Airway Heights",NA
"65","Reardan",NA
"66","Farmer",NA
"67","Brier",NA
"68","Robe",NA
"69","Elk Plain",0.928
"70","Port Townsend",NA
"71","Ocean City",NA
"72","Boulevard Park",0.908
"73","Newhalem",NA
"74","Ford",NA
"75","Waterville",NA
"76","Quinault",NA
"77","Humptulips",NA
"78","Hamilton",NA
"79","Oak Harbor",0.931
"80","Naches",NA
"81","Hooper",NA
"82","Anacortes",0.915
"83","Kettle Falls",NA
"84","Walnut Grove",0.91
"85","Salkum",NA
"86","Cunningham",NA
"87","Irby",NA
"88","Electric City",NA
"89","Burbank",NA
"90","Silver Lake",NA
"91","Dash Point",0.907
"92","Pataha",NA
"93","Laurel",NA
