"","city","county","crime_rate_per_100000"
"1","Moline Acres","St. Louis",1791.995377
"2","Lakeshire","St. Louis",1791.995377
"3","Cross Keys","St. Louis",1791.995377
"4","Castle Point","St. Louis",1791.995377
"5","Chesterfield","St. Louis",1791.995377
"6","Flordell Hills","St. Louis",1791.995377
"7","Vinita Terrace","St. Louis",1791.995377
"8","Winchester","St. Louis",1791.995377
"9","Ferguson","St. Louis",1791.995377
"10","Breckenridge Hills","St. Louis",1791.995377
"11","Town and Country","St. Louis",1791.995377
"12","Glendale","St. Louis",1791.995377
"13","Jennings","St. Louis",1791.995377
"14","Pasadena Hills","St. Louis",1791.995377
"15","Wilbur Park","St. Louis",1791.995377
"16","Uplands Park","St. Louis",1791.995377
"17","Sycamore Hills","St. Louis",1791.995377
"18","Keyes Summit","St. Louis",1791.995377
"19","Shoveltown","St. Louis",1791.995377
"20","Bel-Nor","St. Louis",1791.995377
"21","Sunset Hills","St. Louis",1791.995377
"22","Clayton","St. Louis",1791.995377
"23","Charlack","St. Louis",1791.995377
"24","Eureka","St. Louis",1791.995377
"25","Oakville","St. Louis",1791.995377
"26","Pasadena Park","St. Louis",1791.995377
"27","Manchester","St. Louis",1791.995377
"28","Affton","St. Louis",1791.995377
"29","Northwoods","St. Louis",1791.995377
"30","Richmond Heights","St. Louis",1791.995377
"31","Wildwood","St. Louis",1791.995377
"32","Valley Park","St. Louis",1791.995377
"33","Pagedale","St. Louis",1791.995377
"34","Normandy","St. Louis",1791.995377
"35","Cool Valley","St. Louis",1791.995377
"36","Musicks Ferry","St. Louis",1791.995377
"37","Lemay","St. Louis",1791.995377
"38","Ladue","St. Louis",1791.995377
"39","Florissant","St. Louis",1791.995377
"40","Barretts","St. Louis",1791.995377
"41","Fenton","St. Louis",1791.995377
"42","Pine Lawn","St. Louis",1791.995377
"43","Bel-Ridge","St. Louis",1791.995377
"44","Bellefontaine Neighbors","St. Louis",1791.995377
"45","Hillsdale","St. Louis",1791.995377
"46","Calverton Park","St. Louis",1791.995377
"47","Country Life Acres","St. Louis",1791.995377
"48","Concord","St. Louis",1791.995377
"49","Clarkson Valley","St. Louis",1791.995377
"50","Olivette","St. Louis",1791.995377
"51","Rock Hill","St. Louis",1791.995377
"52","Grantwood Village","St. Louis",1791.995377
"53","Norwood Court","St. Louis",1791.995377
"54","Vigus","St. Louis",1791.995377
"55","Vinita Park","St. Louis",1791.995377
"56","Beverly Hills","St. Louis",1791.995377
"57","Creve Coeur","St. Louis",1791.995377
"58","Mackenzie","St. Louis",1791.995377
"59","Saint Johns","St. Louis",1791.995377
"60","Huntleigh","St. Louis",1791.995377
"61","Marlborough","St. Louis",1791.995377
"62","Des Peres","St. Louis",1791.995377
"63","Bellerive Acres","St. Louis",1791.995377
"64","Bella Villa","St. Louis",1791.995377
"65","Crystal Lake Park","St. Louis",1791.995377
"66","Ellisville","St. Louis",1791.995377
"67","Webster Groves","St. Louis",1791.995377
"68","Frontenac","St. Louis",1791.995377
"69","Velda Village","St. Louis",1791.995377
"70","Hanley Hills","St. Louis",1791.995377
"71","Champ","St. Louis",1791.995377
"72","Maplewood","St. Louis",1791.995377
"73","Hazelwood","St. Louis",1791.995377
"74","Warson Woods","St. Louis",1791.995377
"75","Saint Ann","St. Louis",1791.995377
"76","Woodson Terrace","St. Louis",1791.995377
"77","Sappington","St. Louis",1791.995377
"78","Spanish Lake","St. Louis",1791.995377
"79","Robertson","St. Louis",1791.995377
"80","Glasgow Village","St. Louis",1791.995377
"81","Ballwin","St. Louis",1791.995377
"82","Kirkwood","St. Louis",1791.995377
